strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,state_size
rl_based,46,1000,1.0,0,0.0,0,0,4,0,0.0,365.2426017119407,4,28,11.200000000000005,7950.71433015459,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.11318594594761744,0.0,199.9999999999972,2.2262130085596983,250
agentic_manager,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,43770.09999999999,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.13670151718750082,0.0,199.9999999999972,0.39999999999999436,250
agentic_manager,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,53,21.19999999999999,43976.90000000001,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.1368777062499998,0.0,199.9999999999972,0.39999999999999436,250
agentic_manager,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,44224.4,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.1367911671874995,0.0,199.9999999999972,0.39999999999999436,250
agentic_manager,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,42714.1,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.1368598656250005,0.0,199.9999999999972,0.39999999999999436,250
agentic_manager,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,51,20.39999999999999,42572.19999999999,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.13678396562500034,0.0,199.9999999999972,0.39999999999999436,250
local_execution,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
local_execution,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
local_execution,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
local_execution,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
local_execution,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
threshold_based,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
threshold_based,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
threshold_based,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,22550.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.14536382812499826,0.0,199.9999999999972,0.39999999999999436,500
mobility_aware,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,63,25.199999999999974,71533.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.14963586718750016,0.0,199.9999999999972,0.39999999999999436,500
mobility_aware,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,57,22.799999999999983,62544.899999999994,1,1217.0,1,1.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.14868584531250062,1218.0,199.9999999999972,0.7653999999999943,500
mobility_aware,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,55,21.999999999999986,66731.50000000001,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.14829867968750007,0.0,199.9999999999972,0.39999999999999436,500
mobility_aware,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,60,23.99999999999998,63653.7,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.14939025781250123,0.0,199.9999999999972,0.39999999999999436,500
mobility_aware,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,62,24.799999999999976,70625.50000000001,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.14976652656250047,0.0,199.9999999999972,0.39999999999999436,500
rl_based,42,1000,1.0,0,0.0,0,0,5,0,0.0,872.7201442843509,5,28,11.200000000000005,15650.714330154591,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.12594336782261584,0.0,199.9999999999972,4.763600721421748,500
rl_based,43,1000,1.0,0,0.0,0,0,29,0,0.0,3469.5984736072537,29,28,11.200000000000005,15650.42015531165,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.12594273873195466,0.0,199.9999999999972,17.747992368036265,500
rl_based,44,1000,1.0,0,0.0,0,0,3,0,0.0,399.1025595253677,3,111,44.399999999999906,62073.60922279933,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.12594355190532003,0.0,199.9999999999972,2.395512797626833,500
rl_based,45,1000,1.0,0,0.0,0,0,8,0,0.0,1568.5556547498531,8,28,11.200000000000005,15650.714219840222,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12594336742788712,0.0,199.9999999999972,8.242778273749261,500
rl_based,46,1000,1.0,0,0.0,0,0,4,0,0.0,722.46481552692,4,28,11.200000000000005,15650.714330154591,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12594336782261584,0.0,199.9999999999972,4.012324077634594,500
agentic_manager,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,58039.299999999996,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.14914827499999936,0.0,199.9999999999972,0.39999999999999436,500
agentic_manager,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,53,21.19999999999999,58514.5,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.14938224843749986,0.0,199.9999999999972,0.39999999999999436,500
