strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,uav_velocity
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,15.728431395431574,1.5124313720913676,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,10
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,14.901623702444411,1.717967525951111,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,10
mobility_aware,42,1000,1.0,0,0.0,0,0,44,44,1.0,1140.0601789599264,44,64,25.599999999999973,45629.09999999999,0,0.0,0,0.0,17.33726973764958,1.907254605247008,0.19999999999999718,0.3022370605468807,0.12913066406249976,5390.0,199.9999999999972,7.717300894799626,10
mobility_aware,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,69,27.599999999999966,51797.9,0,0.0,0,0.0,19.275329496001934,1.8824934100799606,0.19999999999999718,0.30000000000000565,0.12890423593750047,0.0,199.9999999999972,0.39999999999999436,10
mobility_aware,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,60,23.99999999999998,41594.3,0,0.0,0,0.0,15.727326639446524,1.52645346721107,0.19999999999999718,0.30000000000000565,0.12877524374999932,0.0,199.9999999999972,0.39999999999999436,10
mobility_aware,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,59,23.59999999999998,33008.799999999996,1,958.0,1,1.0,15.728431395431574,1.5124313720913676,0.19999999999999718,0.30000000000000565,0.1289088765624993,959.0,199.9999999999972,0.6876999999999944,10
mobility_aware,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,71,28.399999999999963,43055.1,0,0.0,0,0.0,14.901623702444411,1.717967525951111,0.19999999999999718,0.30000000000000565,0.12924566562500023,0.0,199.9999999999972,0.39999999999999436,10
rl_based,42,1000,1.0,0,0.0,0,0,213,49,0.2300469483568075,8093.558201110782,213,28,11.200000000000005,3330.714330154593,1,107.625,6,0.5019531280413503,17.374052313911957,1.885518953721761,0.19999999999999718,0.30284242311088944,0.10199654653561906,5413.1245256727125,199.9999999999972,42.49172836325571,10
rl_based,43,1000,1.0,0,0.0,0,0,89,3,0.033707865168539325,3794.1717555767023,89,28,11.200000000000005,3330.714330154593,0,0.0,0,0.0,19.275329496001934,1.8824934100799606,0.19999999999999718,0.30117839973372407,0.10516779364728694,325.39721186367024,199.9999999999972,19.468477941442607,10
rl_based,44,1000,1.0,0,0.0,0,0,6,0,0.0,222.98544484718064,6,29,11.600000000000005,3450.0245840608427,0,0.0,0,0.0,15.727326639446524,1.52645346721107,0.19999999999999718,0.30000000000000565,0.10553149308278013,0.0,199.9999999999972,1.5149272242358975,10
